"actor","actorid","quality_class","is_active","start_date","end_date","current_year"
"Alan Bates","nm0000869","bad",True,1973,1973,1973
"Luc Besson","nm0000108","average",True,2000,2000,2000
"Michael Gough","nm0001284","bad",True,1989,1989,1989
"Emma Thompson","nm0000668","star",True,2011,2011,2011
"Glenn Ford","nm0001229","bad",True,1973,1973,1973
"Anthony Andrews","nm0000762","bad",True,1985,1985,1985
"Troy Donahue","nm0001148","star",True,1974,1974,1974
"Lena Olin","nm0000565","good",True,1988,1988,1988
"Amy Madigan","nm0001496","good",False,1990,1992,1992
"Rutger Hauer","nm0000442","bad",False,2003,2003,2003
"Jeremy Irons","nm0000460","average",True,1984,1984,1984
"Claudia Cardinale","nm0001012","average",True,1975,1977,1977
"Peter Coyote","nm0001075","average",True,1998,1998,1998
"Michelle Yeoh","nm0000706","good",True,2011,2011,2011
"Jeremy Irons","nm0000460","good",True,1990,1990,1990
"Claire Forlani","nm0001231","average",True,2006,2006,2006
"George Kennedy","nm0001421","average",True,2005,2005,2005
"Hulk Hogan","nm0001356","average",False,1983,1988,1988
"Marcia Gay Harden","nm0001315","good",True,1998,1998,1998
"Wil Wheaton","nm0000696","bad",True,1993,1993,1993
"Kyle MacLachlan","nm0001492","bad",True,2011,2011,2011
"Queen Latifah","nm0001451","bad",True,2007,2007,2007
"Peter Fonda","nm0001228","bad",False,1991,1992,1992
"Lesley-Anne Down","nm0001153","bad",True,1971,1973,1973
"Denise Richards","nm0000612","bad",False,1995,1996,1996
"Sophie Marceau","nm0000521","average",True,1993,1993,1993
"Sean Connery","nm0000125","good",True,1977,1977,1977
"Tom Selleck","nm0000633","average",False,1988,1988,1988
"Tcheky Karyo","nm0001409","bad",True,1986,1986,1986
"Terence Hill","nm0001352","good",True,1973,1973,1973
"Jamie Lee Curtis","nm0000130","bad",True,1990,1990,1990
"Julianna Margulies","nm0000523","average",True,2017,2017,2017
"Minnie Driver","nm0000378","bad",True,2017,2018,2018
"Jean Reno","nm0000606","bad",True,2004,2005,2005
"Sterling Hayden","nm0001330","bad",True,1973,1973,1973
"Woody Harrelson","nm0000437","bad",True,1978,1978,1978
"Jeff Goldblum","nm0000156","average",False,2007,2007,2007
"Bill Pullman","nm0000597","good",True,1987,1987,1987
"Paul Reubens","nm0000607","average",True,1992,1992,1992
"Dan Hedaya","nm0000445","average",True,1983,1983,1983
"Eddie Murphy","nm0000552","good",False,2005,2005,2005
"Meg Foster","nm0001236","bad",True,1987,1987,1987
"Ian Bannen","nm0000846","bad",True,2000,2000,2000
"Glenne Headly","nm0000444","good",True,2006,2006,2006
"Benicio Del Toro","nm0001125","average",True,1993,1993,1993
"Ann-Margret","nm0000268","bad",True,1979,1980,1980
"Robert Englund","nm0000387","bad",False,2002,2002,2002
"Tom Lister Jr.","nm0001474","bad",True,2015,2015,2015
"Danny Aiello","nm0000732","bad",True,1995,1999,1999
"Juliette Binoche","nm0000300","bad",True,2016,2016,2016
"Raymond J. Barry","nm0000855","good",True,2006,2006,2006
"Martin Sheen","nm0000640","average",True,1972,1973,1973
"Samuel L. Jackson","nm0000168","average",True,1991,1992,1992
"Matt Frewer","nm0001242","bad",True,1984,1984,1984
"Nick Nolte","nm0000560","bad",True,1975,1975,1975
"Maud Adams","nm0000726","average",True,1974,1975,1975
"Helena Bonham Carter","nm0000307","star",True,2011,2011,2011
"Christine Lahti","nm0001441","average",True,1989,1989,1989
"Yvonne De Carlo","nm0001119","bad",False,1982,1982,1982
"Mark Dacascos","nm0001092","bad",True,1989,1990,1990
"Bruce Dern","nm0001136","good",True,2013,2013,2013
"Aaron Eckhart","nm0001173","bad",True,2019,2020,2020
"John Huston","nm0001379","average",True,2018,2018,2018
"Mia Farrow","nm0001201","good",False,1993,1993,1993
"Matt Dillon","nm0000369","good",True,1979,1980,1980
"Kris Kristofferson","nm0001434","bad",True,1988,1989,1989
"Jim Carrey","nm0000120","average",False,2002,2002,2002
"Robbie Coltrane","nm0001059","good",False,2003,2003,2003
"Barry Bostwick","nm0000960","good",False,1976,1977,1977
"Hugh Grant","nm0000424","average",False,2008,2008,2008
"Bridget Fonda","nm0000403","good",True,1992,1992,1992
"Catherine Bach","nm0000280","bad",True,1989,1990,1990
"Jane Badler","nm0000826","bad",True,2015,2016,2016
"Tom Berenger","nm0000297","good",True,2001,2001,2001
"Brian Blessed","nm0000306","good",True,1993,1993,1993
"Mel Blanc","nm0000305","average",False,1971,1971,1971
"Jenna Elfman","nm0001184","average",True,1999,2000,2000
"Martha Plimpton","nm0000588","average",True,1986,1987,1987
"Jon Cryer","nm0001083","bad",False,2015,2018,2018
"Joan Allen","nm0000260","good",False,1987,1987,1987
"Susan Dey","nm0001138","bad",True,1985,1986,1986
