"actor","actorid","films","quality_class","is_active","current_year"
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,1999
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2000
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2001
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2002
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2003
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2004
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2005
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2006
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2007
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2008
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2009
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2010
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2011
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2012
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2013
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2014
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2015
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2016
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2017
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2018
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2019
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2020
"Ingmar Bergman","nm0000005","{""(\""Cries & Whispers\"",30691,8.1,tt0069467)""}","star",False,1987
"Ingmar Bergman","nm0000005","{""(\""Cries & Whispers\"",30691,8.1,tt0069467)""}","star",False,1988
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,2021
"Lauren Bacall","nm0000002","{""(\""Murder on the Orient Express\"",56620,7.3,tt0071877)""}","good",True,1974
